"module name","license","repository"
"@babel/polyfill@7.4.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"@jimp/bmp@0.6.4","MIT",""
"@jimp/core@0.6.4","MIT","https://github.com/oliver-moran/jimp"
"@jimp/custom@0.6.4","MIT",""
"@jimp/gif@0.6.4","MIT",""
"@jimp/jpeg@0.6.4","MIT",""
"@jimp/plugin-blit@0.6.4","MIT",""
"@jimp/plugin-blur@0.6.4","MIT",""
"@jimp/plugin-color@0.6.4","MIT",""
"@jimp/plugin-contain@0.6.4","MIT",""
"@jimp/plugin-cover@0.6.4","MIT",""
"@jimp/plugin-crop@0.6.4","MIT",""
"@jimp/plugin-displace@0.6.4","MIT",""
"@jimp/plugin-dither@0.6.4","MIT",""
"@jimp/plugin-flip@0.6.4","MIT",""
"@jimp/plugin-gaussian@0.6.4","MIT",""
"@jimp/plugin-invert@0.6.4","MIT",""
"@jimp/plugin-mask@0.6.4","MIT",""
"@jimp/plugin-normalize@0.6.4","MIT",""
"@jimp/plugin-print@0.6.4","MIT",""
"@jimp/plugin-resize@0.6.4","MIT",""
"@jimp/plugin-rotate@0.6.4","MIT",""
"@jimp/plugin-scale@0.6.4","MIT",""
"@jimp/plugins@0.6.4","MIT",""
"@jimp/png@0.6.4","MIT",""
"@jimp/tiff@0.6.4","MIT",""
"@jimp/types@0.6.4","MIT",""
"@jimp/utils@0.6.4","MIT",""
"@oopsunome/watermark-cli@1.0.3","MIT","https://github.com/iTonyYo/watermark-cli"
"@oopsunome/watermark@1.0.5","MIT","https://github.com/iTonyYo/watermark"
"@sindresorhus/is@0.14.0","MIT","https://github.com/sindresorhus/is"
"@szmarczak/http-timer@1.1.2","MIT","https://github.com/szmarczak/http-timer"
"ansi-align@3.0.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@4.1.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-base@1.1.0","MIT","https://github.com/HarasimowiczKamil/any-base"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"base64-js@1.3.1","MIT","https://github.com/beatgammit/base64-js"
"bmp-js@0.1.0","MIT","https://github.com/shaozilee/bmp-js"
"boxen@3.2.0","MIT","https://github.com/sindresorhus/boxen"
"buffer-equal@0.0.1","MIT","https://github.com/substack/node-buffer-equal"
"buffer@5.4.2","MIT","https://github.com/feross/buffer"
"cacheable-request@6.1.0","MIT","https://github.com/lukechilds/cacheable-request"
"camelcase-keys@4.2.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@4.1.0","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"ci-info@2.0.0","MIT","https://github.com/watson/ci-info"
"cli-boxes@2.2.0","MIT","https://github.com/sindresorhus/cli-boxes"
"clone-response@1.0.2","MIT","https://github.com/lukechilds/clone-response"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"configstore@4.0.0","BSD-2-Clause","https://github.com/yeoman/configstore"
"core-js@2.6.9","MIT","https://github.com/zloirock/core-js"
"cross-spawn@5.1.0","MIT","https://github.com/IndigoUnited/node-cross-spawn"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string"
"currently-unhandled@0.4.1","MIT","https://github.com/jamestalmage/currently-unhandled"
"debug@4.1.1","MIT","https://github.com/visionmedia/debug"
"decamelize-keys@1.1.0","MIT","https://github.com/dsblv/decamelize-keys"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"decompress-response@3.3.0","MIT","https://github.com/sindresorhus/decompress-response"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend"
"defer-to-connect@1.0.2","MIT","https://github.com/szmarczak/defer-to-connect"
"define-properties@1.1.3","MIT","https://github.com/ljharb/define-properties"
"dom-walk@0.1.1","MIT","https://github.com/Raynos/dom-walk"
"dot-prop@4.2.0","MIT","https://github.com/sindresorhus/dot-prop"
"duplexer3@0.1.4","BSD-3-Clause","https://github.com/floatdrop/duplexer3"
"emoji-regex@7.0.3","MIT","https://github.com/mathiasbynens/emoji-regex"
"end-of-stream@1.4.1","MIT","https://github.com/mafintosh/end-of-stream"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"es-abstract@1.13.0","MIT","https://github.com/ljharb/es-abstract"
"es-to-primitive@1.2.0","MIT","https://github.com/ljharb/es-to-primitive"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"execa@0.7.0","MIT","https://github.com/sindresorhus/execa"
"exif-parser@0.1.12","MIT*","https://github.com/bwindels/exif-parser"
"file-type@9.0.0","MIT","https://github.com/sindresorhus/file-type"
"find-up@2.1.0","MIT","https://github.com/sindresorhus/find-up"
"for-each@0.3.3","MIT","https://github.com/Raynos/for-each"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"get-stream@3.0.0","MIT","https://github.com/sindresorhus/get-stream"
"get-stream@4.1.0","MIT","https://github.com/sindresorhus/get-stream"
"get-stream@5.1.0","MIT","https://github.com/sindresorhus/get-stream"
