"module name","license","repository"
"@babel/polyfill@7.2.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"@jimp/bmp@0.6.0","MIT",""
"@jimp/core@0.6.0","MIT","https://github.com/oliver-moran/jimp"
"@jimp/custom@0.6.0","MIT",""
"@jimp/gif@0.6.0","MIT",""
"@jimp/jpeg@0.6.0","MIT",""
"@jimp/plugin-blit@0.6.0","MIT",""
"@jimp/plugin-blur@0.6.0","MIT",""
"@jimp/plugin-color@0.6.0","MIT",""
"@jimp/plugin-contain@0.6.0","MIT",""
"@jimp/plugin-cover@0.6.0","MIT",""
"@jimp/plugin-crop@0.6.0","MIT",""
"@jimp/plugin-displace@0.6.0","MIT",""
"@jimp/plugin-dither@0.6.0","MIT",""
"@jimp/plugin-flip@0.6.0","MIT",""
"@jimp/plugin-gaussian@0.6.0","MIT",""
"@jimp/plugin-invert@0.6.0","MIT",""
"@jimp/plugin-mask@0.6.0","MIT",""
"@jimp/plugin-normalize@0.6.0","MIT",""
"@jimp/plugin-print@0.6.0","MIT",""
"@jimp/plugin-resize@0.6.0","MIT",""
"@jimp/plugin-rotate@0.6.0","MIT",""
"@jimp/plugin-scale@0.6.0","MIT",""
"@jimp/plugins@0.6.0","MIT",""
"@jimp/png@0.6.0","MIT",""
"@jimp/tiff@0.6.0","MIT",""
"@jimp/types@0.6.0","MIT",""
"@jimp/utils@0.6.0","MIT",""
"@oopsunome/watermark-cli@0.0.0","MIT*",""
"@oopsunome/watermark@1.0.0","MIT",""
"ansi-align@2.0.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-base@1.1.0","MIT","https://github.com/HarasimowiczKamil/any-base"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"base64-js@1.3.0","MIT","https://github.com/beatgammit/base64-js"
"bmp-js@0.1.0","MIT","https://github.com/shaozilee/bmp-js"
"boxen@1.3.0","MIT","https://github.com/sindresorhus/boxen"
"buffer-equal@0.0.1","MIT","https://github.com/substack/node-buffer-equal"
"buffer@5.2.1","MIT","https://github.com/feross/buffer"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules"
"camelcase-keys@4.2.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@4.1.0","MIT","https://github.com/sindresorhus/camelcase"
"capture-stack-trace@1.0.1","MIT","https://github.com/floatdrop/capture-stack-trace"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"ci-info@1.6.0","MIT","https://github.com/watson/ci-info"
"cli-boxes@1.0.0","MIT","https://github.com/sindresorhus/cli-boxes"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"configstore@3.1.2","BSD-2-Clause","https://github.com/yeoman/configstore"
"core-js@2.6.1","MIT","https://github.com/zloirock/core-js"
"create-error-class@3.0.2","MIT","https://github.com/floatdrop/create-error-class"
"cross-spawn@5.1.0","MIT","https://github.com/IndigoUnited/node-cross-spawn"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string"
"currently-unhandled@0.4.1","MIT","https://github.com/jamestalmage/currently-unhandled"
"debug@4.1.1","MIT","https://github.com/visionmedia/debug"
"decamelize-keys@1.1.0","MIT","https://github.com/dsblv/decamelize-keys"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend"
"dom-walk@0.1.1","MIT","https://github.com/Raynos/dom-walk"
"dot-prop@4.2.0","MIT","https://github.com/sindresorhus/dot-prop"
"duplexer3@0.1.4","BSD-3-Clause","https://github.com/floatdrop/duplexer3"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"execa@0.7.0","MIT","https://github.com/sindresorhus/execa"
"exif-parser@0.1.12","MIT*","https://github.com/bwindels/exif-parser"
"file-type@9.0.0","MIT","https://github.com/sindresorhus/file-type"
"find-up@2.1.0","MIT","https://github.com/sindresorhus/find-up"
"for-each@0.3.3","MIT","https://github.com/Raynos/for-each"
"get-stream@3.0.0","MIT","https://github.com/sindresorhus/get-stream"
"global-dirs@0.1.1","MIT","https://github.com/sindresorhus/global-dirs"
"global@4.3.2","MIT","https://github.com/Raynos/global"
"got@6.7.1","MIT","https://github.com/sindresorhus/got"
"graceful-fs@4.1.15","ISC","https://github.com/isaacs/node-graceful-fs"
